,game_state,next_state,probability
0,1-0-0-0-0-0,1-0-0-0-0-1,0.03243922510620315
1,1-0-0-0-0-9,1-0-0-0-0-10,0.03243922510620315
2,1-0-0-0-1-8,1-0-0-0-0-10,0.030053034767236298
3,1-0-0-1-0-8,1-0-0-0-0-10,0.025792367399741268
4,1-0-0-1-1-7,1-0-0-0-0-10,0.029001883239171376
5,1-0-1-0-0-8,1-0-0-0-0-10,0.033334177022956796
6,1-0-1-0-1-7,1-0-0-0-0-10,0.03262736119061248
7,1-0-1-1-0-7,1-0-0-0-0-10,0.030489564297393478
8,1-0-1-1-1-6,1-0-0-0-0-10,0.029971791255289138
9,1-0-0-0-0-10,1-0-0-0-0-11,0.03243922510620315
10,1-0-0-0-1-9,1-0-0-0-0-11,0.030053034767236298
11,1-0-0-1-0-9,1-0-0-0-0-11,0.025792367399741268
12,1-0-0-1-1-8,1-0-0-0-0-11,0.029001883239171376
13,1-0-1-0-0-9,1-0-0-0-0-11,0.033334177022956796
14,1-0-1-0-1-8,1-0-0-0-0-11,0.03262736119061248
15,1-0-1-1-0-8,1-0-0-0-0-11,0.030489564297393478
16,1-0-1-1-1-7,1-0-0-0-0-11,0.029971791255289138
17,1-0-0-0-0-11,1-0-0-0-0-12,0.03243922510620315
18,1-0-0-0-1-10,1-0-0-0-0-12,0.030053034767236298
19,1-0-0-1-0-10,1-0-0-0-0-12,0.025792367399741268
20,1-0-0-1-1-9,1-0-0-0-0-12,0.029001883239171376
21,1-0-1-0-0-10,1-0-0-0-0-12,0.033334177022956796
22,1-0-1-0-1-9,1-0-0-0-0-12,0.03262736119061248
23,1-0-1-1-0-9,1-0-0-0-0-12,0.030489564297393478
24,1-0-1-1-1-8,1-0-0-0-0-12,0.029971791255289138
25,1-0-0-0-0-12,1-0-0-0-0-13,0.03243922510620315
26,1-0-0-0-1-11,1-0-0-0-0-13,0.030053034767236298
27,1-0-0-1-0-11,1-0-0-0-0-13,0.025792367399741268
28,1-0-0-1-1-10,1-0-0-0-0-13,0.029001883239171376
29,1-0-1-0-0-11,1-0-0-0-0-13,0.033334177022956796
30,1-0-1-0-1-10,1-0-0-0-0-13,0.03262736119061248
31,1-0-1-1-0-10,1-0-0-0-0-13,0.030489564297393478
32,1-0-1-1-1-9,1-0-0-0-0-13,0.029971791255289138
33,1-0-0-0-0-13,1-0-0-0-0-14,0.03243922510620315
34,1-0-0-0-1-12,1-0-0-0-0-14,0.030053034767236298
35,1-0-0-1-0-12,1-0-0-0-0-14,0.025792367399741268
36,1-0-0-1-1-11,1-0-0-0-0-14,0.029001883239171376
37,1-0-1-0-0-12,1-0-0-0-0-14,0.033334177022956796
38,1-0-1-0-1-11,1-0-0-0-0-14,0.03262736119061248
39,1-0-1-1-0-11,1-0-0-0-0-14,0.030489564297393478
40,1-0-1-1-1-10,1-0-0-0-0-14,0.029971791255289138
41,1-0-0-0-0-14,1-0-0-0-0-15,0.03243922510620315
42,1-0-0-0-1-13,1-0-0-0-0-15,0.030053034767236298
43,1-0-0-1-0-13,1-0-0-0-0-15,0.025792367399741268
44,1-0-0-1-1-12,1-0-0-0-0-15,0.029001883239171376
45,1-0-1-0-0-13,1-0-0-0-0-15,0.033334177022956796
46,1-0-1-0-1-12,1-0-0-0-0-15,0.03262736119061248
47,1-0-1-1-0-12,1-0-0-0-0-15,0.030489564297393478
48,1-0-1-1-1-11,1-0-0-0-0-15,0.029971791255289138
49,1-0-0-0-0-15,1-0-0-0-0-16,0.03243922510620315
50,1-0-0-0-1-14,1-0-0-0-0-16,0.030053034767236298
51,1-0-0-1-0-14,1-0-0-0-0-16,0.025792367399741268
52,1-0-0-1-1-13,1-0-0-0-0-16,0.029001883239171376
53,1-0-1-0-0-14,1-0-0-0-0-16,0.033334177022956796
54,1-0-1-0-1-13,1-0-0-0-0-16,0.03262736119061248
55,1-0-1-1-0-13,1-0-0-0-0-16,0.030489564297393478
56,1-0-1-1-1-12,1-0-0-0-0-16,0.029971791255289138
57,1-0-0-0-0-16,1-0-0-0-0-17,0.03243922510620315
58,1-0-0-0-1-15,1-0-0-0-0-17,0.030053034767236298
59,1-0-0-1-0-15,1-0-0-0-0-17,0.025792367399741268
60,1-0-0-1-1-14,1-0-0-0-0-17,0.029001883239171376
61,1-0-1-0-0-15,1-0-0-0-0-17,0.033334177022956796
62,1-0-1-0-1-14,1-0-0-0-0-17,0.03262736119061248
63,1-0-1-1-0-14,1-0-0-0-0-17,0.030489564297393478
64,1-0-1-1-1-13,1-0-0-0-0-17,0.029971791255289138
65,1-0-0-0-0-17,1-0-0-0-0-18,0.03243922510620315
66,1-0-0-0-1-16,1-0-0-0-0-18,0.030053034767236298
67,1-0-0-1-0-16,1-0-0-0-0-18,0.025792367399741268
68,1-0-0-1-1-15,1-0-0-0-0-18,0.029001883239171376
69,1-0-1-0-0-16,1-0-0-0-0-18,0.033334177022956796
70,1-0-1-0-1-15,1-0-0-0-0-18,0.03262736119061248
71,1-0-1-1-0-15,1-0-0-0-0-18,0.030489564297393478
72,1-0-1-1-1-14,1-0-0-0-0-18,0.029971791255289138
73,1-0-0-0-0-18,1-0-0-0-0-19,0.03243922510620315
74,1-0-0-0-1-17,1-0-0-0-0-19,0.030053034767236298
75,1-0-0-1-0-17,1-0-0-0-0-19,0.025792367399741268
76,1-0-0-1-1-16,1-0-0-0-0-19,0.029001883239171376
77,1-0-1-0-0-17,1-0-0-0-0-19,0.033334177022956796
78,1-0-1-0-1-16,1-0-0-0-0-19,0.03262736119061248
79,1-0-1-1-0-16,1-0-0-0-0-19,0.030489564297393478
80,1-0-1-1-1-15,1-0-0-0-0-19,0.029971791255289138
81,1-0-0-0-0-1,1-0-0-0-0-2,0.03243922510620315
